DATE,Avg_Temp_C,Avg_Humidity_Percent,MAX,MIN,AW,RF,STATION_CODE,Usage,Usage_Lag_1Day,Month,DayOfWeek,month_sin,month_cos,day_sin,day_cos
2019-01-07,17.7,51.125,27.4,10.2,7.0,0.0,42647,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,20.75,43.625,29.5,14.6,7.0,0.0,42909,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,19.9,54.5,30.2,10.0,3.0,0.0,42914,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,18.55,41.5,27.9,11.3,11.0,0.0,42737,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,21.775,49.875,24.7,18.8,6.0,0.0,42730,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,21.35,37.5,28.8,13.6,6.0,0.0,42840,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,16.571428571428573,40.714285714285715,26.7,7.7,6.0,0.0,42631,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,18.9,44.0,27.8,11.8,4.0,0.0,42740,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,18.775,42.125,27.0,12.4,5.0,0.0,42634,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,19.975,44.75,26.2,15.0,6.0,0.0,42731,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,22.5,42.0,30.9,8.6,3.0,0.0,42915,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,19.799999999999997,30.0,29.0,12.5,9.0,0.0,42834,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,21.2,29.125,29.7,14.5,11.0,0.0,42830,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,17.8,49.0,26.8,10.0,7.0,0.0,42638,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,19.4,68.5,27.1,13.4,3.0,0.0,42639,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,22.3,39.0,27.0,13.4,5.0,0.0,42838,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,21.1,36.0,29.0,14.1,7.0,0.0,42837,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-07,18.5,53.75,28.4,11.4,14.0,0.0,42748,300.2,300.2,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-08,21.6,50.0,27.6,13.1,7.0,0.0,42837,316.1,300.2,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-08,20.7,55.75,28.7,13.5,5.0,0.0,42909,316.1,316.1,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-08,18.075,55.625,24.7,11.0,8.0,0.0,42647,316.1,316.1,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-08,21.85,42.0,25.1,12.2,7.333333333333333,0.0,42838,316.1,316.1,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-08,16.7,51.0,26.4,8.6,6.666666666666667,0.0,42638,316.1,316.1,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-08,20.025,54.125,28.6,12.5,6.0,0.0,42840,316.1,316.1,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-08,20.125,53.5,25.0,14.0,6.0,0.0,42731,316.1,316.1,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
